University;Qs General;Qs CS;Qs Math;Qs Statistics;Qs Econometrics;Qs Employment;THE General;THE US;THE CS;THE ENG & TECH;THE BUSINESS & ECONOMICS;THE REPUTATION;ARWU General;ARWU CS;ARWU Statistics;ARWU Economics;ARWU Mathematics;Endowment Ranking;Research Budget Ranking
Harvard University ;3;6;2;2;1;4;6;1;9;3;7;1;1;8;1;1;12;1;7
New York University ;43;33;11;48;15;11;27;27;24;79;15;26;32;39;49;9;5;25;21
Columbia University ;16;24;14;13;10;17;16;4;20;34;13;12;8;25;5;5;25;11;18
University of Pennsylvannia;19;37;25;22;12;24;12;10;33;30;10;16;16;51;7;14;76;7;3
University of Michigan;20;45;21;14;21;25;20;28;27;16;15;15;27;43;17;19;33;9;2
University of Minnesota ;156;151;51;51;43;121;71;114;96;88;31;51;37;101;20;21;39;29;14
University of Indiana at Bloomington;323;151;151;151;101;151;146;145;176;201;64;81;101;101;1000;28;51;42;1000
Rutgers University;283;151;51;51;251;301;176;162;101;126;101;91;101;51;32;101;16;84;29
Vanderbilt University;195;251;151;1000;151;201;121;19;201;126;176;1000;50;201;76;101;101;24;28
Duke University;26;51;51;21;19;34;18;7;72;47;5;29;26;101;6;20;401;14;9
University of Illinois at Chicago;214;151;151;151;151;171;251;132;176;201;176;1000;201;201;76;151;76;1000;1000
University of Georgia;431;1000;351;101;1000;301;401;240;301;401;176;1000;201;401;101;151;201;90;1000
Northeastern University;326;201;201;1000;251;201;184;69;101;201;126;1000;201;101;1000;1000;201;1000;1000
